LicenseNumber,Name,Surname,PhoneNumber,EmailAddress,Address,EmploymentStatus,StartDate,Specialization,WorkingHours,AvailabilityStatus,CommissionFee,Remarks
70163,Samuel,Sanchez,919643146,DW-muXjcByrQ-3737@tutanota.com,Debowa,Full-time,2003-04-19,Residential,7-15,Available,2.999999999999994,
13854,John,Smith,377995001,DW-jDPnVegDc-7119@op.pl,Lesna,Full-time,1979-12-01,Rental,6-15,Available,1.53,
46392,Ryan,Thomas,858767614,DW-gQEIeHKFhTBsNqv-3229@hotmail.com,Pilsudskiego,Full-time,1979-07-24,Rental,7-15,On Leave,2.3499999999999934,
84408,Andrew,Taylor,867301216,DW-WdNrdcvMESMBssCy-1697@o2.pl,Modrzewiowa,Contract,2009-06-15,Commercial,8-17,Available,3.079999999999992,
59137,Benjamin,Mitchell,155446343,DW-mddwOnkliuRXQaMj-8939@protonmail.com,Targowa,Full-time,2000-02-04,Commercial,9-17,Available,1.9400000000000002,
91608,Matthew,Wilson,370094194,DW-zEwydqnbaor-0793@interia.pl,Spokojna,Full-time,1978-03-03,Residential,8-16,Available,1.9000000000000001,
10640,Owen,Clark,298943407,DW-MlFVMeip-4119@outlook.com,Debowa,Full-time,1998-11-24,Commercial,7-16,Available,2.7899999999999925,
55578,Ethan,Gonzalez,168931295,DW-uocOFNUPkQfd-1196@gmail.com,Slowackiego,Full-time,2006-12-19,Residential,8-16,Available,1.7200000000000002,
11913,Michael,Jackson,639420721,DW-KfioeOOXWMpLH-4172@aol.com,Polna,Full-time,1966-11-26,Commercial,6-14,Available,1.5100000000000005,
12223,Gabriel,Johnson,641222296,DW-diDgcuZR-4660@op.pl,Cicha,Full-time,1985-10-30,Rental,8-16,Available,1.8600000000000003,
47414,Joseph,Bond,834552847,DW-KMoMnsWVC-9263@outlook.com,Swierkowa,Full-time,1961-08-25,Commercial,7-16,On Leave,3.1999999999999926,
21409,Christopher,Wright,135724446,DW-tsVAhoGywKWIe-1706@hotmail.com,Orzeszkowej,Full-time,1971-10-17,Residential,10-18,Available,3.1199999999999934,
43012,Kevin,Rodriguez,183198263,DW-BtDGWNfNGuhVy-5790@interia.pl,Modrzewiowa,Full-time,1953-05-12,Rental,6-15,Available,3.2399999999999936,
43750,Brandon,Hall,238990595,DW-YFRbjUOZLmTY-9563@me.com,Dabrowska,Part-time,1991-05-10,Residential,10-18,Available,2.449999999999993,
11256,Owen,Kowalski,113557135,DW-qSujBMyXTXIswvt-4243@outlook.com,Gorna,Part-time,2019-01-11,Residential,9-17,Available,3.3299999999999907,
72198,William,Thompson,171498902,DW-wCvuctSXlXWYW-6157@o2.pl,Borowa,Full-time,1992-04-13,Residential,9-17,Available,3.049999999999993,
31246,Nicholas,Sanchez,306459923,DW-nakvzqlUHXQCgtTf-5238@aol.com,Chopina,Full-time,2020-07-27,Rental,9-17,Available,2.399999999999994,
37266,Connor,Smith,204118203,DW-VyCYHgaeDSeeYq-8915@zoho.com,Reymonta,Full-time,1996-04-05,Rental,8-16,Available,1.9500000000000002,
68839,Zachary,Bond,137688292,DW-wdPUoOjE-8575@yandex.com,Waska,Part-time,1956-11-06,Commercial,9-17,Available,2.749999999999994,
62293,Ryan,Clark,900813265,DW-DHyJADCPAlI-5543@onet.pl,Akacjowa,Full-time,2013-07-06,Rental,8-17,Available,3.159999999999994,
