EstateId,EstateType,Area,NoFloors,MarketType,DecorCondition,FK_Address,FK_OwnedBy
1,Flat,80,1,New,FullyDecorated,1,DW-xuSVbAXDBlJ-4192@yandex.com
2,Condo,120,1,Used,Unfinished,2,DW-xuSVbAXDBlJ-4192@yandex.com
3,SingleFamily,292,1,Used,InDevelopment,3,DW-xuSVbAXDBlJ-4192@yandex.com
4,Flat,62,1,New,Unfinished,4,DW-xuSVbAXDBlJ-4192@yandex.com
5,Condo,124,2,New,FullyDecorated,5,DW-xuSVbAXDBlJ-4192@yandex.com
6,SingleFamily,404,3,Old,Unfinished,6,DW-xuSVbAXDBlJ-4192@yandex.com
7,SingleFamily,145,2,New,FullyDecorated,7,DW-xuSVbAXDBlJ-4192@yandex.com
8,Flat,117,1,Old,FullyDecorated,8,DW-xuSVbAXDBlJ-4192@yandex.com
9,Condo,193,2,New,FullyDecorated,9,DW-xuSVbAXDBlJ-4192@yandex.com
10,Flat,212,1,New,FullyDecorated,10,DW-AblMqwiYhVS-9046@yandex.com
11,Condo,129,2,Used,FullyDecorated,11,DW-mlPeVCcKuQJOQpj-8260@gmx.com
12,SingleFamily,330,2,Used,Unfinished,12,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
13,SingleFamily,465,2,Used,FullyDecorated,13,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
14,SingleFamily,264,3,Used,FullyDecorated,14,DW-yWFXsBOAVeitnVQn-5183@gmail.com
15,SingleFamily,111,3,New,InDevelopment,15,DW-hTVLXiaiAlN-3229@tutanota.com
16,Flat,31,1,New,FullyDecorated,16,DW-AXqAZEmPvEh-0328@o2.pl
17,Flat,103,1,Used,FullyDecorated,17,DW-OuQgYxvqRYghTM-4428@me.com
18,Flat,140,1,New,BareShell,18,DW-yWFXsBOAVeitnVQn-5183@gmail.com
19,Condo,135,2,New,Unfinished,19,DW-xuSVbAXDBlJ-4192@yandex.com
20,SingleFamily,430,2,Used,BareShell,20,DW-PMUNvVKMZrPtc-7869@interia.pl
21,Condo,145,2,Used,FullyDecorated,21,DW-yWFXsBOAVeitnVQn-5183@gmail.com
22,SingleFamily,130,2,Used,FullyDecorated,22,DW-mlPeVCcKuQJOQpj-8260@gmx.com
23,Flat,25,1,New,Unfinished,23,DW-AXqAZEmPvEh-0328@o2.pl
24,Condo,125,2,New,FullyDecorated,24,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
25,Condo,139,1,New,FullyDecorated,25,DW-AXqAZEmPvEh-0328@o2.pl
26,Flat,42,1,New,FullyDecorated,26,DW-hTVLXiaiAlN-3229@tutanota.com
27,Condo,117,1,Used,InDevelopment,27,DW-ptjOvWnkwuPcz-9986@hotmail.com
28,SingleFamily,269,2,New,Unfinished,28,DW-HFUkXhXY-9843@me.com
29,Flat,35,1,Old,FullyDecorated,29,DW-aNobTdvgIDi-5918@o2.pl
30,SingleFamily,165,3,Used,FullyDecorated,30,DW-ptjOvWnkwuPcz-9986@hotmail.com
31,SingleFamily,395,2,Used,FullyDecorated,31,DW-PMUNvVKMZrPtc-7869@interia.pl
32,SingleFamily,137,2,Used,FullyDecorated,32,DW-kMPPVpbhCpJtmnZ-5851@aol.com
33,Condo,137,1,Used,InDevelopment,33,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
34,SingleFamily,424,2,New,Unfinished,34,DW-mlPeVCcKuQJOQpj-8260@gmx.com
35,Flat,48,1,Used,FullyDecorated,35,DW-mlPeVCcKuQJOQpj-8260@gmx.com
36,SingleFamily,388,3,Renovated,Unfinished,36,DW-PMUNvVKMZrPtc-7869@interia.pl
37,Condo,157,2,New,FullyDecorated,37,DW-AblMqwiYhVS-9046@yandex.com
38,Flat,166,1,Used,FullyDecorated,38,DW-ukLUPzBD-5352@yahoo.com
39,Condo,164,2,New,FullyDecorated,39,DW-ODAaOxpQ-0051@hotmail.com
40,Flat,177,1,New,FullyDecorated,40,DW-rcOWiTcbysF-1066@live.com
41,SingleFamily,186,2,Renovated,Unfinished,41,DW-pIJQqKdQX-3133@zoho.com
42,Flat,193,1,Renovated,FullyDecorated,42,DW-HFUkXhXY-9843@me.com
43,SingleFamily,147,1,New,Unfinished,43,DW-ukLUPzBD-5352@yahoo.com
44,Flat,222,1,New,FullyDecorated,44,DW-hTVLXiaiAlN-3229@tutanota.com
45,Flat,21,1,Used,FullyDecorated,45,DW-mlPeVCcKuQJOQpj-8260@gmx.com
46,SingleFamily,234,2,Old,Unfinished,46,DW-hTVLXiaiAlN-3229@tutanota.com
47,Flat,63,1,Used,FullyDecorated,47,DW-SqUzPbdDYp-7433@aol.com
48,Condo,145,2,New,FullyDecorated,48,DW-aNobTdvgIDi-5918@o2.pl
49,SingleFamily,312,1,New,Unfinished,49,DW-yWFXsBOAVeitnVQn-5183@gmail.com
50,Condo,196,2,New,Unfinished,50,DW-pHFxCMUCH-8750@live.com
51,Condo,157,1,Old,FullyDecorated,51,DW-pHFxCMUCH-8750@live.com
52,Flat,119,1,Used,FullyDecorated,52,DW-WfCCOzpNnZ-1907@yahoo.com
53,Flat,99,1,New,BareShell,53,DW-hTVLXiaiAlN-3229@tutanota.com
54,SingleFamily,318,2,Used,FullyDecorated,54,DW-ODAaOxpQ-0051@hotmail.com
55,SingleFamily,295,3,Used,FullyDecorated,55,DW-hTVLXiaiAlN-3229@tutanota.com
56,Flat,112,1,New,InDevelopment,56,DW-aNobTdvgIDi-5918@o2.pl
57,SingleFamily,164,2,Used,InDevelopment,57,DW-kjTgjVTRTOEvL-3615@op.pl
58,SingleFamily,463,2,Old,InDevelopment,58,DW-xgmvAcOsqJvD-5706@protonmail.com
59,SingleFamily,365,1,Used,Unfinished,59,DW-fMrgEApdRaAuj-4943@interia.pl
60,Condo,141,1,Old,Unfinished,60,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
61,Condo,191,2,New,FullyDecorated,61,DW-AblMqwiYhVS-9046@yandex.com
62,Condo,105,2,Used,FullyDecorated,62,DW-fMrgEApdRaAuj-4943@interia.pl
63,SingleFamily,459,3,New,Unfinished,63,DW-PrQRMCsRdIQCqc-3441@aol.com
64,Condo,112,2,Old,FullyDecorated,64,DW-pIJQqKdQX-3133@zoho.com
65,SingleFamily,344,2,Old,FullyDecorated,65,DW-fMrgEApdRaAuj-4943@interia.pl
66,Condo,199,2,Used,FullyDecorated,66,DW-ywOeSmGELMI-8246@me.com
67,Flat,143,1,Used,FullyDecorated,67,DW-RfKQgiyPinFgWl-8951@interia.pl
68,Condo,184,2,Used,InDevelopment,68,DW-rcOWiTcbysF-1066@live.com
69,SingleFamily,156,2,New,InDevelopment,69,DW-MzlJSrnupgps-7531@yahoo.com
70,SingleFamily,275,2,Renovated,FullyDecorated,70,DW-aNobTdvgIDi-5918@o2.pl
71,Condo,143,2,Used,BareShell,71,DW-aNobTdvgIDi-5918@o2.pl
72,Condo,171,1,Renovated,BareShell,72,DW-PMUNvVKMZrPtc-7869@interia.pl
73,SingleFamily,245,2,New,InDevelopment,73,DW-AblMqwiYhVS-9046@yandex.com
74,Condo,190,1,Used,FullyDecorated,74,DW-RfKQgiyPinFgWl-8951@interia.pl
75,Flat,160,1,Renovated,Unfinished,75,DW-ptjOvWnkwuPcz-9986@hotmail.com
76,SingleFamily,274,2,Renovated,InDevelopment,76,DW-SPjujOtwTExcpPR-1262@me.com
77,Flat,210,1,Old,Unfinished,77,DW-ptjOvWnkwuPcz-9986@hotmail.com
78,Flat,144,1,Used,FullyDecorated,78,DW-mYUusqOOVnImvXkj-2611@wp.pl
79,Flat,26,1,Used,FullyDecorated,79,DW-rcOWiTcbysF-1066@live.com
80,Condo,189,2,New,InDevelopment,80,DW-WfCCOzpNnZ-1907@yahoo.com
81,Flat,119,1,Renovated,BareShell,81,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
82,Flat,96,1,Renovated,Unfinished,82,DW-htaiPuLGnc-7312@inbox.lv
83,Condo,128,2,Used,FullyDecorated,83,DW-pHFxCMUCH-8750@live.com
84,Condo,167,2,Used,Unfinished,84,DW-rcOWiTcbysF-1066@live.com
85,Flat,226,1,Renovated,FullyDecorated,85,DW-TrYDDJsPawpLTSr-5103@yandex.com
