IsSuccessful,DateOfBirth,AccountCreated,IsCreatedOnline,RequestType,RequestStartDate,RequestStartTime,RequestSubmissionTime,CreatedBy
1,1971-04-04,1,1,Sale,2010-01-01,08:27,12:45,DW-xuSVbAXDBlJ-4192@yandex.com
0,1971-04-04,1,1,Rent,2010-01-01,13:40,18:34,DW-xuSVbAXDBlJ-4192@yandex.com
0,2023-06-12,0,0,Sale,2010-01-02,09:01,14:14,Anonymous
0,1962-11-23,1,1,Rent,2010-01-05,09:09,12:34,DW-yWFXsBOAVeitnVQn-5183@gmail.com
0,2024-01-23,0,0,Sale,2010-01-05,08:47,10:11,Anonymous
1,1982-12-16,1,1,Rent,2010-01-05,10:38,19:02,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
0,1987-03-15,1,1,Sale,2010-01-06,09:21,14:47,DW-AXqAZEmPvEh-0328@o2.pl
1,1975-03-22,1,1,Rent,2010-01-08,11:10,19:22,DW-ukLUPzBD-5352@yahoo.com
1,1979-09-08,1,1,Rent,2010-01-08,08:33,12:41,DW-HFUkXhXY-9843@me.com
1,1975-03-22,1,1,Sale,2010-01-08,07:13,18:55,DW-ukLUPzBD-5352@yahoo.com
0,2001-08-23,1,1,Rent,2010-01-09,13:31,17:59,DW-pHFxCMUCH-8750@live.com
0,1967-05-06,1,1,Sale,2010-01-10,08:07,10:37,DW-ODAaOxpQ-0051@hotmail.com
0,1973-11-10,1,1,Sale,2010-01-10,07:59,19:19,DW-aNobTdvgIDi-5918@o2.pl
0,2023-12-19,0,1,Rent,2010-01-10,16:12,18:44,Anonymous
0,2023-06-19,0,1,Sale,2010-01-10,11:17,18:59,Anonymous
0,2002-07-18,1,1,Sale,2010-01-11,15:59,17:49,DW-fMrgEApdRaAuj-4943@interia.pl
0,1989-12-25,1,0,Rent,2010-01-11,12:56,13:44,DW-RfKQgiyPinFgWl-8951@interia.pl
0,2023-05-08,0,0,Sale,2010-01-12,10:00,13:40,Anonymous
0,1997-09-02,1,1,Rent,2010-01-12,07:17,09:49,DW-ptjOvWnkwuPcz-9986@hotmail.com
1,1987-03-15,1,1,Sale,2010-01-13,09:48,20:05,DW-AXqAZEmPvEh-0328@o2.pl
0,2023-07-22,0,1,Rent,2010-01-14,10:30,13:38,Anonymous
0,1997-09-02,1,1,Sale,2010-01-14,09:54,16:57,DW-ptjOvWnkwuPcz-9986@hotmail.com
0,1983-10-28,1,1,Sale,2010-01-14,18:19,22:53,DW-OuQgYxvqRYghTM-4428@me.com
1,1974-12-23,1,1,Sale,2010-01-15,08:34,08:49,DW-NDpBWFtgNy-6620@gmx.com
0,1999-04-20,1,1,Sale,2010-01-16,06:48,06:56,DW-yRbXSJesBZuIw-0889@wp.pl
