RequestId,AskingPrice,BuyRent,isAgentAssigned,isMadeOnline,CreatedAt,FK_Estate,FK_CreatedBy
1,451558,Buy,1,1,2010-01-01 00:00,1,DW-xuSVbAXDBlJ-4192@yandex.com
2,14520,Rent,0,1,2010-01-01 08:27,2,DW-xuSVbAXDBlJ-4192@yandex.com
3,9473449,Buy,0,1,2010-01-01 13:40,3,DW-xuSVbAXDBlJ-4192@yandex.com
4,1376121,Buy,0,1,2010-01-01 00:00,4,DW-xuSVbAXDBlJ-4192@yandex.com
5,14478,Rent,1,1,2010-01-02 00:00,5,DW-xuSVbAXDBlJ-4192@yandex.com
6,9251745,Buy,0,1,2010-01-02 00:00,6,DW-xuSVbAXDBlJ-4192@yandex.com
7,23436,Rent,0,1,2010-01-02 00:00,7,DW-xuSVbAXDBlJ-4192@yandex.com
8,16084,Rent,1,1,2010-01-02 00:00,8,DW-xuSVbAXDBlJ-4192@yandex.com
9,2553555,Buy,0,1,2010-01-02 09:01,9,DW-xuSVbAXDBlJ-4192@yandex.com
10,318549,Buy,0,1,2010-01-02 00:00,10,DW-AblMqwiYhVS-9046@yandex.com
11,15618,Rent,0,1,2010-01-02 00:00,11,DW-mlPeVCcKuQJOQpj-8260@gmx.com
12,461586,Buy,0,1,2010-01-03 00:00,12,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
13,1503028,Buy,0,1,2010-01-03 00:00,13,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
14,24715,Rent,0,1,2010-01-03 00:00,14,DW-yWFXsBOAVeitnVQn-5183@gmail.com
15,5732,Rent,0,1,2010-01-04 00:00,15,DW-hTVLXiaiAlN-3229@tutanota.com
16,19490,Rent,0,1,2010-01-04 00:00,16,DW-AXqAZEmPvEh-0328@o2.pl
17,1583453,Buy,0,1,2010-01-04 00:00,17,DW-OuQgYxvqRYghTM-4428@me.com
18,3623,Rent,0,1,2010-01-04 00:00,18,DW-yWFXsBOAVeitnVQn-5183@gmail.com
19,4305582,Buy,0,1,2010-01-04 00:00,19,DW-xuSVbAXDBlJ-4192@yandex.com
20,6159794,Buy,1,1,2010-01-04 00:00,20,DW-PMUNvVKMZrPtc-7869@interia.pl
21,3939405,Buy,0,1,2010-01-05 09:09,21,DW-yWFXsBOAVeitnVQn-5183@gmail.com
22,21079,Rent,1,1,2010-01-05 00:00,22,DW-mlPeVCcKuQJOQpj-8260@gmx.com
23,513598,Buy,0,1,2010-01-05 08:47,23,DW-AXqAZEmPvEh-0328@o2.pl
24,25740,Rent,0,1,2010-01-05 10:38,24,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
25,25533,Rent,0,1,2010-01-06 09:21,25,DW-AXqAZEmPvEh-0328@o2.pl
26,2673,Rent,0,1,2010-01-06 00:00,26,DW-hTVLXiaiAlN-3229@tutanota.com
27,5265,Rent,0,0,2010-01-06 00:00,27,DW-ptjOvWnkwuPcz-9986@hotmail.com
28,46940,Rent,0,1,2010-01-06 00:00,28,DW-HFUkXhXY-9843@me.com
29,15758,Rent,1,1,2010-01-06 00:00,29,DW-aNobTdvgIDi-5918@o2.pl
30,7090182,Buy,0,1,2010-01-06 00:00,30,DW-ptjOvWnkwuPcz-9986@hotmail.com
31,1712683,Buy,1,1,2010-01-06 00:00,31,DW-PMUNvVKMZrPtc-7869@interia.pl
32,42737,Rent,0,1,2010-01-07 00:00,32,DW-kMPPVpbhCpJtmnZ-5851@aol.com
33,7783,Rent,0,1,2010-01-07 00:00,33,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
34,9751294,Buy,0,1,2010-01-07 00:00,34,DW-mlPeVCcKuQJOQpj-8260@gmx.com
35,11065,Rent,0,1,2010-01-07 00:00,35,DW-mlPeVCcKuQJOQpj-8260@gmx.com
36,6277032,Buy,0,1,2010-01-07 00:00,36,DW-PMUNvVKMZrPtc-7869@interia.pl
37,300132,Buy,0,1,2010-01-08 00:00,37,DW-AblMqwiYhVS-9046@yandex.com
38,9407,Rent,0,1,2010-01-08 11:10,38,DW-ukLUPzBD-5352@yahoo.com
39,4891780,Buy,0,0,2010-01-08 00:00,39,DW-ODAaOxpQ-0051@hotmail.com
40,10261,Rent,0,1,2010-01-08 00:00,40,DW-rcOWiTcbysF-1066@live.com
41,4498870,Buy,0,1,2010-01-08 00:00,41,DW-pIJQqKdQX-3133@zoho.com
42,410005,Buy,0,0,2010-01-08 08:33,42,DW-HFUkXhXY-9843@me.com
43,5908,Rent,0,1,2010-01-08 07:13,43,DW-ukLUPzBD-5352@yahoo.com
44,1700083,Buy,0,1,2010-01-08 00:00,44,DW-hTVLXiaiAlN-3229@tutanota.com
45,2550,Rent,0,1,2010-01-09 00:00,45,DW-mlPeVCcKuQJOQpj-8260@gmx.com
46,37038,Rent,0,1,2010-01-09 00:00,46,DW-hTVLXiaiAlN-3229@tutanota.com
47,645919,Buy,0,1,2010-01-09 00:00,47,DW-SqUzPbdDYp-7433@aol.com
48,23621,Rent,0,1,2010-01-09 00:00,48,DW-aNobTdvgIDi-5918@o2.pl
49,3704453,Buy,1,0,2010-01-09 00:00,49,DW-yWFXsBOAVeitnVQn-5183@gmail.com
50,12157,Rent,0,1,2010-01-09 13:31,50,DW-pHFxCMUCH-8750@live.com
51,5737,Rent,0,1,2010-01-09 00:00,51,DW-pHFxCMUCH-8750@live.com
52,1496041,Buy,0,1,2010-01-10 00:00,52,DW-WfCCOzpNnZ-1907@yahoo.com
53,18124,Rent,0,1,2010-01-10 00:00,53,DW-hTVLXiaiAlN-3229@tutanota.com
54,48110,Rent,1,1,2010-01-10 08:07,54,DW-ODAaOxpQ-0051@hotmail.com
55,3538199,Buy,0,1,2010-01-10 00:00,55,DW-hTVLXiaiAlN-3229@tutanota.com
56,494583,Buy,0,1,2010-01-10 07:59,56,DW-aNobTdvgIDi-5918@o2.pl
57,21080,Rent,1,1,2010-01-10 16:12,57,DW-kjTgjVTRTOEvL-3615@op.pl
58,4378804,Buy,0,1,2010-01-10 00:00,58,DW-xgmvAcOsqJvD-5706@protonmail.com
59,42849,Rent,0,1,2010-01-10 11:17,59,DW-fMrgEApdRaAuj-4943@interia.pl
60,3792395,Buy,1,1,2010-01-10 00:00,60,DW-rVBLWCgnFQxdTLdi-6172@icloud.com
61,24413,Rent,0,1,2010-01-10 00:00,61,DW-AblMqwiYhVS-9046@yandex.com
62,21274,Rent,0,0,2010-01-10 00:00,62,DW-fMrgEApdRaAuj-4943@interia.pl
63,19933,Rent,0,1,2010-01-10 00:00,63,DW-PrQRMCsRdIQCqc-3441@aol.com
64,28976,Rent,0,1,2010-01-11 00:00,64,DW-pIJQqKdQX-3133@zoho.com
65,7668670,Buy,0,1,2010-01-11 15:59,65,DW-fMrgEApdRaAuj-4943@interia.pl
66,21157,Rent,0,1,2010-01-11 00:00,66,DW-ywOeSmGELMI-8246@me.com
67,10755,Rent,0,1,2010-01-11 12:56,67,DW-RfKQgiyPinFgWl-8951@interia.pl
68,24072,Rent,0,1,2010-01-11 00:00,68,DW-rcOWiTcbysF-1066@live.com
69,35923,Rent,0,1,2010-01-11 00:00,69,DW-MzlJSrnupgps-7531@yahoo.com
70,8971242,Buy,0,1,2010-01-11 00:00,70,DW-aNobTdvgIDi-5918@o2.pl
71,985808,Buy,1,1,2010-01-11 00:00,71,DW-aNobTdvgIDi-5918@o2.pl
72,1718686,Buy,0,1,2010-01-12 00:00,72,DW-PMUNvVKMZrPtc-7869@interia.pl
73,7498640,Buy,0,1,2010-01-12 00:00,73,DW-AblMqwiYhVS-9046@yandex.com
74,662425,Buy,0,1,2010-01-12 00:00,74,DW-RfKQgiyPinFgWl-8951@interia.pl
75,17601,Rent,0,0,2010-01-12 00:00,75,DW-ptjOvWnkwuPcz-9986@hotmail.com
76,45936,Rent,0,0,2010-01-12 10:00,76,DW-SPjujOtwTExcpPR-1262@me.com
77,108507,Buy,0,1,2010-01-12 07:17,77,DW-ptjOvWnkwuPcz-9986@hotmail.com
78,625146,Buy,1,1,2010-01-12 00:00,78,DW-mYUusqOOVnImvXkj-2611@wp.pl
79,13006,Rent,0,1,2010-01-12 00:00,79,DW-rcOWiTcbysF-1066@live.com
80,10448,Rent,0,1,2010-01-13 00:00,80,DW-WfCCOzpNnZ-1907@yahoo.com
